id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ocean Skies,Harbor Lights,reggae,uplifting,0.68,96,0.82,0.77,0.34
12,Deep Bass Signal,Nite Circuit,edm,energetic,0.95,128,0.70,0.92,0.04
13,Porchlight Ballad,Wren & Pine,folk,nostalgic,0.33,84,0.58,0.46,0.88
14,Steel and Fire,Iron Avenue,metal,angry,0.97,170,0.35,0.60,0.03
15,Blue Velvet Slow,Marrow Moon,r&b,sad,0.40,72,0.42,0.68,0.25
16,Cloud Piano Notes,Aria Vale,classical,dreamy,0.22,66,0.55,0.18,0.96
17,Streetlight Stories,Kai Verse,hip hop,confident,0.74,92,0.63,0.81,0.12
18,Desert Highway,Hollow Ridge,country,calm,0.45,100,0.61,0.52,0.73
